service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20250303,20250630
2,1,1,1,1,1,0,0,20250303,20250630
3,1,1,1,1,1,0,0,20250303,20250303
4,1,1,1,1,1,0,0,20250303,20250627
5,1,1,1,1,1,0,0,20250303,20250430
6,1,1,1,1,1,0,0,20250303,20250307
7,1,1,1,1,1,0,0,20250303,20250627
8,1,1,1,1,1,0,0,20250303,20250630
9,1,1,1,1,1,0,0,20250303,20250627
10,1,1,1,1,1,0,0,20250303,20250310
11,1,1,1,1,1,0,0,20250303,20250627
12,1,1,1,1,1,0,0,20250303,20250312
13,1,1,1,1,1,0,0,20250303,20250630
14,1,1,1,1,1,0,0,20250303,20250630
15,1,1,1,1,1,0,0,20250303,20250530
16,1,1,1,1,1,0,0,20250303,20250627
17,1,1,1,1,1,0,0,20250303,20250630
18,1,1,1,1,1,0,0,20250303,20250630
19,1,1,1,1,1,0,0,20250303,20250630
20,1,1,1,1,1,0,0,20250303,20250331
21,1,1,1,1,1,0,0,20250303,20250530
22,1,1,1,1,1,0,0,20250303,20250331
23,1,1,1,1,1,0,0,20250303,20250526
24,1,1,1,1,1,0,0,20250303,20250529
25,1,1,1,1,1,0,0,20250303,20250331
26,1,1,1,1,1,0,0,20250303,20250319
27,1,1,1,1,1,0,0,20250303,20250630
28,1,1,1,1,1,0,0,20250303,20250630
29,1,1,1,1,1,0,0,20250303,20250313
30,1,1,1,1,1,0,0,20250303,20250630
31,1,1,1,1,1,0,0,20250303,20250630
32,1,1,1,1,1,0,0,20250303,20250630
33,1,1,1,1,1,0,0,20250303,20250630
34,1,1,1,1,1,0,0,20250303,20250627
35,1,1,1,1,1,0,0,20250303,20250630
36,1,1,1,1,1,0,0,20250303,20250530
37,1,1,1,1,1,0,0,20250303,20250630
38,1,1,1,1,1,0,0,20250303,20250317
39,1,1,1,1,1,0,0,20250303,20250416
40,1,1,1,1,1,0,0,20250303,20250417
41,1,1,1,1,1,0,0,20250303,20250627
42,1,1,1,1,1,0,0,20250303,20250328
43,1,1,1,1,1,0,0,20250303,20250314
44,1,1,1,1,1,0,0,20250303,20250627
45,1,1,1,1,1,0,0,20250303,20250530
46,1,1,1,1,1,0,0,20250303,20250627
47,1,1,1,1,1,0,0,20250303,20250627
48,1,1,1,1,1,0,0,20250303,20250627
49,1,1,1,1,1,0,0,20250303,20250627
50,1,1,1,1,1,0,0,20250303,20250626
51,1,1,1,1,1,0,0,20250303,20250630
52,1,1,1,1,1,0,0,20250303,20250626
53,1,1,1,1,1,0,0,20250303,20250502
54,1,1,1,1,1,0,0,20250303,20250502
55,1,1,1,1,1,0,0,20250303,20250304
56,1,1,1,1,1,0,0,20250303,20250430
57,1,1,1,1,1,0,0,20250303,20250613
58,1,1,1,1,1,0,0,20250303,20250430
59,1,1,1,1,1,0,0,20250303,20250630
60,1,1,1,1,1,0,0,20250303,20250410
61,1,1,1,1,1,0,0,20250303,20250627
62,1,1,1,1,1,0,0,20250304,20250630
63,1,1,1,1,1,0,0,20250304,20250627
64,1,1,1,1,1,0,0,20250304,20250306
65,1,1,1,1,1,0,0,20250304,20250627
66,1,1,1,1,1,0,0,20250304,20250530
67,1,1,1,1,1,0,0,20250304,20250328
68,1,1,1,1,1,0,0,20250304,20250317
69,1,1,1,1,1,0,0,20250304,20250626
70,1,1,1,1,1,0,0,20250304,20250626
71,1,1,1,1,1,0,0,20250304,20250627
72,1,1,1,1,1,0,0,20250304,20250626
73,1,1,1,1,1,0,0,20250305,20250307
74,1,1,1,1,1,0,0,20250305,20250502
75,1,1,1,1,1,0,0,20250306,20250530
76,1,1,1,1,1,0,0,20250307,20250627
77,1,1,1,1,1,0,0,20250307,20250307
78,1,1,1,1,1,0,0,20250307,20250627
79,1,1,1,1,1,0,0,20250307,20250627
80,1,1,1,1,1,0,0,20250307,20250328
81,1,1,1,1,1,0,0,20250307,20250530
82,1,1,1,1,1,0,0,20250307,20250627
83,1,1,1,1,1,0,0,20250307,20250627
84,1,1,1,1,1,0,0,20250307,20250627
85,1,1,1,1,1,0,0,20250307,20250620
86,1,1,1,1,1,0,0,20250307,20250627
87,1,1,1,1,1,0,0,20250307,20250425
88,1,1,1,1,1,0,0,20250307,20250627
89,1,1,1,1,1,0,0,20250307,20250411
90,0,0,0,0,0,1,1,20250308,20250629
91,0,0,0,0,0,1,1,20250308,20250628
92,0,0,0,0,0,1,1,20250308,20250323
93,0,0,0,0,0,1,1,20250308,20250629
